Source,Target,Weight,Type
aksakovis_publ1,aksakovis_publ2,1,undirected
aksakovis_publ1,herzen_natura2,2,undirected
aksakovis_publ1,samarin_publ2,3,undirected
aksakovis_publ2,aksakovis_publ1,1,undirected
aksakovis_publ2,aksakovks_publ2,1,undirected
aksakovis_publ2,samarin_publ1,5,undirected
aksakovis_publ2,samarin_publ2,4,undirected
aksakovks_publ1,annenkov_letters,5,undirected
aksakovks_publ1,annenkov_notes1,2,undirected
aksakovks_publ1,annenkov_notes2,1,undirected
aksakovks_publ1,herzen_notes,2,undirected
aksakovks_publ2,aksakovis_publ2,1,undirected
aksakovks_publ2,herzen_natura2,3,undirected
aksakovks_publ2,samarin_publ1,3,undirected
aksakovks_publ2,samarin_publ2,1,undirected
annenkov_letters,aksakovks_publ1,5,undirected
annenkov_letters,annenkov_notes1,3,undirected
annenkov_letters,annenkov_notes2,2,undirected
annenkov_letters,herzen_notes,6,undirected
annenkov_notes1,aksakovks_publ1,2,undirected
annenkov_notes1,annenkov_letters,3,undirected
annenkov_notes1,annenkov_notes2,6,undirected
annenkov_notes2,aksakovks_publ1,1,undirected
annenkov_notes2,annenkov_letters,2,undirected
annenkov_notes2,annenkov_notes1,6,undirected
herzen_natura1,herzen_natura2,6,undirected
herzen_natura1,herzen_russkie,3,undirected
herzen_natura1,samarin_publ2,1,undirected
herzen_natura2,aksakovis_publ1,2,undirected
herzen_natura2,aksakovks_publ2,3,undirected
herzen_natura2,herzen_natura1,6,undirected
herzen_natura2,herzen_notes,2,undirected
herzen_natura2,herzen_russkie,5,undirected
herzen_natura2,samarin_publ2,1,undirected
herzen_notes,aksakovks_publ1,2,undirected
herzen_notes,annenkov_letters,6,undirected
herzen_notes,herzen_natura2,2,undirected
herzen_notes,herzen_russkie,4,undirected
herzen_russkie,herzen_natura1,3,undirected
herzen_russkie,herzen_natura2,5,undirected
herzen_russkie,herzen_notes,4,undirected
samarin_publ1,aksakovis_publ2,5,undirected
samarin_publ1,aksakovks_publ2,3,undirected
samarin_publ1,samarin_publ2,6,undirected
samarin_publ2,aksakovis_publ1,3,undirected
samarin_publ2,aksakovis_publ2,4,undirected
samarin_publ2,aksakovks_publ2,1,undirected
samarin_publ2,herzen_natura1,1,undirected
samarin_publ2,herzen_natura2,1,undirected
samarin_publ2,samarin_publ1,6,undirected
